daten,MLI_adj_close,MLI_volume,CWCO_adj_close,CWCO_volume,SEDG_adj_close,SEDG_volume,^GSPC_adj_close,^GSPC_volume,^IXIC_adj_close,^IXIC_volume,^GSPC_ret,MLI_ret,MLI_lv,CWCO_ret,CWCO_lv,SEDG_ret,SEDG_lv,nasdaq_level,nas_ret
2024-09-04,66.8897476196289,748700,25.6884708404541,100000,21.719999313354492,2102500,5520.06982421875,3478140000,17084.30078125,5011820000,,,13.526093648218776,,11.512925464970229,,14.55863767082924,17084.30078125,
2024-09-05,65.9041748046875,551400,25.32499885559082,74800,20.65999984741211,2727100,5503.41015625,3521650000,17127.66015625,4983030000,-0.30225810146742305,-1.484391595326695,13.220215777571834,-1.4250280872018184,11.222573163962569,-5.003400714639605,14.818749331489085,17127.66015625,0.253475083140664
2024-09-06,65.13313293457031,715700,24.5096492767334,148300,19.489999771118164,2925600,5408.419921875,3822800000,16690.830078125,5549030000,-1.741094450742331,-1.1768415914913177,13.481016363726688,-3.2725116902996287,11.906992528126024,-5.829795452990805,14.88901014581731,16690.830078125,-2.58352381804805
2024-09-09,66.08210754394531,663300,24.578413009643555,128600,17.940000534057617,5460500,5471.0498046875,3825940000,16884.599609375,5132150000,1.1513534435817263,1.446464833974126,13.404982655513647,0.2801649716282828,11.764462090785656,-8.286861537616952,15.51305091861992,16884.599609375,1.1542469261140553
2024-09-10,66.35889434814453,601900,25.158000946044922,101000,17.850000381469727,4211900,5495.52001953125,3848180000,17025.880859375,4963740000,0.4462699977795026,0.4179781234111779,13.307846597535862,2.330743726169704,11.522875795823397,-0.5029356803246454,15.253424410263756,17025.880859375,0.8332649110933232
2024-09-11,66.3687744140625,483700,24.480178833007812,79700,19.360000610351562,6202400,5554.1298828125,3839450000,17395.529296875,6086930000,1.0608555649842089,0.014887726166445958,13.089220158811074,-2.7312212133449254,11.286024864778307,8.120558377835296,15.640446871886887,17395.529296875,2.1478646377831367
2024-09-12,67.47592163085938,505600,25.000823974609375,66900,18.149999618530273,3298200,5595.759765625,3655070000,17569.6796875,4983120000,0.7467352156803386,1.6544136635389783,13.133501121814785,2.1045020422071126,11.11095424611632,-6.453857368160998,15.008887423076807,17569.6796875,0.9961435138672314
2024-09-13,69.45294952392578,595400,25.374116897583008,112600,19.700000762939453,4165100,5626.02001953125,3500790000,17683.98046875,4802880000,0.5393142234355608,2.887872038536088,13.296988727563813,1.4820851381210698,11.631596994687728,8.194813477858931,15.242250842898695,17683.98046875,0.6484500120562231
2024-09-16,69.69019317626953,612800,25.6688232421875,105800,21.950000762939453,5521300,5633.08984375,3437070000,17592.130859375,4675530000,0.12558408673104537,0.3410069337808075,13.325793897408518,1.154751738812676,11.569305798406337,10.814849980740826,15.524123897772176,17592.130859375,-0.5207479706829332
2024-09-17,70.40192413330078,700100,26.26805877685547,103300,22.520000457763672,5397300,5634.580078125,3443600000,17628.060546875,4959520000,0.02645150938960228,1.0160986846132758,13.45897846096529,2.3076553831405278,11.54539265510773,2.563664931923171,15.50140938649282,17628.060546875,0.20402898751754606
2024-09-18,70.12512969970703,1008800,25.6884708404541,79900,21.690000534057617,4609200,5618.259765625,3691390000,17573.30078125,5611630000,-0.2900658708313131,-0.3939380838091644,13.824272063632847,-2.2311420092330003,11.288531131754366,-3.75524741373936,15.343564864121996,17573.30078125,-0.3111232505265349
2024-09-19,72.81389617919922,833600,25.84564781188965,85600,21.200000762939453,4139700,5713.64013671875,4024530000,18013.98046875,5574650000,1.6834356892726277,3.762560517813629,13.63350894998124,0.6099937785498444,11.357440562129833,-2.2850131795403517,15.236133879407756,18013.98046875,2.4767399967171144
2024-09-20,71.72652435302734,5770400,25.20711898803711,340800,20.3700008392334,3848100,5702.5498046875,7867260000,17948.3203125,9914480000,-0.19429136300157523,-1.5046204184386625,15.5682519601716,-2.5015769456169235,12.739051073937297,-3.9937946227483145,15.163090077956051,17948.3203125,-0.3651614484310173
2024-09-23,70.98513793945312,619400,25.17764663696289,71800,20.639999389648438,2432800,5718.56982421875,3529550000,17974.26953125,5237310000,0.28053344257124024,-1.039008405170172,13.336506546521239,-0.11698914967674945,11.181639755036315,1.3167639603871795,14.704553415345291,17974.26953125,0.1444730091924029
2024-09-24,70.60950469970703,468800,24.72576904296875,62200,21.25,2480500,5732.93017578125,3872710000,18074.51953125,5347580000,0.25080311033462976,-0.5305767421051932,13.05793151724494,-1.8110581764130718,11.03811027872727,2.912598432836111,14.72397071072324,18074.51953125,0.5561920998893299
2024-09-25,69.72972869873047,706500,24.10688591003418,121400,20.170000076293945,4288200,5722.259765625,3624910000,18082.2109375,4858060000,-0.18629832062124763,-1.2538012426545286,13.46807848110672,-2.5348458792491257,11.706846157607535,-5.216053962175993,15.271377622436125,18082.2109375,0.04254481124981169
2024-09-26,70.77754974365234,741500,24.21494483947754,85300,21.610000610351562,3452700,5745.3701171875,4391180000,18190.2890625,5669210000,0.4030542158199424,1.4915105912736593,13.516430440560123,0.44724758103242834,11.35392973347977,6.895984301406921,15.054667091624692,18190.2890625,0.5959249836374525
2024-09-27,71.27180480957031,652000,24.72576904296875,66600,23.1200008392334,3966500,5738.169921875,3898530000,18119.58984375,5367890000,-0.12540029000724928,0.6958948346887261,13.38779984090879,2.0875982982166974,11.106459856528481,6.754188134046313,15.193394651724194,18119.58984375,-0.38942188861774696
2024-09-30,73.24884033203125,1039700,24.765060424804688,75600,22.90999984741211,2615100,5762.47998046875,4425730000,18189.169921875,5846150000,0.42276036584407706,2.7361611381816253,13.854442767966061,0.15878250784462367,11.233211562167625,-0.9124590298112523,14.776812895667778,18189.169921875,0.38326929230869666
2024-10-01,72.14170837402344,640000,24.49866485595703,90400,22.020000457763672,3126000,5708.75,4025180000,17910.359375,5879980000,-0.9367848694454395,-1.5230059562352238,13.369223455335854,-1.081518557421557,11.411999546380267,-3.962233772201129,14.95526478996356,17910.359375,-1.544707624998054
2024-10-02,71.38053894042969,512800,24.626928329467773,61200,21.639999389648438,2116700,5709.5400390625,3829050000,17925.119140625,5489040000,0.013838132698751338,-1.0607088231147088,13.147641184588597,0.5221871397388167,11.021902468500418,-1.7407726309579985,14.565368830108262,17925.119140625,0.08237516043312354
