asset,AIC_base_ADL(SPX),AIC_add_NAS(SPX+NAS),AIC_replace_NAS(NAS only)
MLI,980.858686539368,981.2389922379489,1000.0060798260229
CWCO,1018.3507072033545,1014.3773201864446,1023.0036360551089
SEDG,1693.8456832536172,1698.4489120885305,1696.9680878775894
