Date,MLI,CWCO,SEDG,^GSPC
2024-08-01,67.82274627685547,27.90858268737793,26.540000915527344,5446.68017578125
2024-08-02,66.17263793945312,27.486173629760742,25.31999969482422,5346.56005859375
2024-08-05,64.73001861572266,26.45470428466797,25.020000457763672,5186.330078125
2024-08-06,67.06192016601562,26.356468200683594,23.899999618530273,5240.02978515625
2024-08-07,65.56002044677734,26.21894073486328,23.59000015258789,5199.5
2024-08-08,66.51846313476562,26.73958396911621,22.8700008392334,5319.31005859375
2024-08-09,67.29905700683594,26.140352249145508,21.200000762939453,5344.16015625
2024-08-12,66.19239807128906,25.826000213623047,21.440000534057617,5344.39013671875
2024-08-13,66.91371154785156,26.317174911499023,21.8799991607666,5434.43017578125
2024-08-14,66.61727905273438,26.120704650878906,22.3700008392334,5455.2099609375
2024-08-15,67.63501739501953,26.40558433532715,24.56999969482422,5543.22021484375
2024-08-16,67.64488983154297,27.04411506652832,25.290000915527344,5554.25
2024-08-19,68.178466796875,26.670820236206055,27.530000686645508,5608.25
2024-08-20,67.07179260253906,26.326997756958008,26.6299991607666,5597.1201171875
2024-08-21,69.29500579833984,26.84764289855957,26.850000381469727,5620.85009765625
2024-08-22,68.29704284667969,26.02246856689453,25.049999237060547,5570.64013671875
2024-08-23,69.9273910522461,26.484174728393555,28.770000457763672,5634.60986328125
2024-08-26,69.86810302734375,26.543115615844727,26.1299991607666,5616.83984375
2024-08-27,68.95905303955078,27.515642166137695,25.690000534057617,5625.7998046875
2024-08-28,69.13690948486328,27.073583602905273,25.690000534057617,5592.18017578125
2024-08-29,70.51036071777344,27.21111488342285,24.90999984741211,5591.9599609375
2024-08-30,71.84429168701172,27.270057678222656,24.329999923706055,5648.39990234375
2024-09-03,67.7931137084961,25.767057418823242,22.06999969482422,5528.93017578125
2024-09-04,67.06192016601562,25.6884708404541,21.719999313354492,5520.06982421875
2024-09-05,66.0738296508789,25.325002670288086,20.65999984741211,5503.41015625
2024-09-06,65.30079650878906,24.50965118408203,19.489999771118164,5408.419921875
2024-09-09,66.25221252441406,24.578414916992188,17.940000534057617,5471.0498046875
2024-09-10,66.52971649169922,25.158000946044922,17.850000381469727,5495.52001953125
2024-09-11,66.53961944580078,24.480178833007812,19.360000610351562,5554.1298828125
2024-09-12,67.64962005615234,25.000825881958008,18.149999618530273,5595.759765625
2024-09-13,69.63172912597656,25.374116897583008,19.700000762939453,5626.02001953125
2024-09-16,69.86958312988281,25.668821334838867,21.950000762939453,5633.08984375
2024-09-17,70.58314514160156,26.26805877685547,22.520000457763672,5634.580078125
2024-09-18,70.3056411743164,25.6884708404541,21.690000534057617,5618.259765625
2024-09-19,73.00132751464844,25.845645904541016,21.200000762939453,5713.64013671875
2024-09-20,71.9111557006836,25.207117080688477,20.3700008392334,5702.5498046875
2024-09-23,71.16786193847656,25.177648544311523,20.639999389648438,5718.56982421875
2024-09-24,70.791259765625,24.725767135620117,21.25,5732.93017578125
2024-09-25,69.90922546386719,24.106887817382812,20.170000076293945,5722.259765625
2024-09-26,70.9597396850586,24.21494483947754,21.610000610351562,5745.3701171875
2024-09-27,71.45526885986328,24.725767135620117,23.1200008392334,5738.169921875
2024-09-30,73.43738555908203,24.765058517456055,22.90999984741211,5762.47998046875
2024-10-01,72.32740020751953,24.49866485595703,22.020000457763672,5708.75
2024-10-02,71.56428527832031,24.626928329467773,21.639999389648438,5709.5400390625
2024-10-03,71.13813018798828,24.52826499938965,20.260000228881836,5699.93994140625
2024-10-04,71.99044799804688,24.65652847290039,20.1299991607666,5751.06982421875
2024-10-07,71.24714660644531,24.46906280517578,20.420000076293945,5695.93994140625
2024-10-08,71.29670715332031,24.281600952148438,18.559999465942383,5751.1298828125
2024-10-09,71.60392761230469,24.3901309967041,19.0,5792.0400390625
2024-10-10,70.56331634521484,24.261865615844727,18.18000030517578,5780.0498046875
2024-10-11,72.18865203857422,24.873592376708984,19.459999084472656,5815.02978515625
2024-10-14,72.76346588134766,25.54451560974121,18.829999923706055,5859.85009765625
2024-10-15,72.2084732055664,25.662918090820312,18.190000534057617,5815.259765625
2024-10-16,73.53649139404297,25.968780517578125,18.56999969482422,5842.47021484375
2024-10-17,73.3382797241211,25.731983184814453,17.93000030517578,5841.47021484375
2024-10-18,71.58411407470703,25.593852996826172,17.309999465942383,5864.669921875
2024-10-21,71.4354476928711,25.218921661376953,17.010000228881836,5853.97998046875
2024-10-22,81.48477935791016,24.99199104309082,17.579999923706055,5851.2001953125
2024-10-23,80.27568817138672,24.745328903198242,14.944999694824219,5797.419921875
2024-10-24,81.06853485107422,24.15333366394043,15.255000114440918,5809.85986328125
2024-10-25,81.11808776855469,24.113868713378906,16.110000610351562,5808.1201171875
2024-10-28,82.3172607421875,24.32106590270996,17.459999084472656,5823.52001953125
2024-10-29,82.25780487060547,23.97573471069336,16.770000457763672,5832.919921875
2024-10-30,82.25780487060547,23.689605712890625,16.889999389648438,5813.669921875
2024-10-31,81.23701477050781,23.442941665649414,17.059999465942383,5705.4501953125
2024-11-01,80.73157501220703,23.334409713745117,17.690000534057617,5728.7998046875
2024-11-04,82.25780487060547,23.57120704650879,18.299999237060547,5712.68994140625
2024-11-05,83.97233581542969,24.261865615844727,18.8700008392334,5782.759765625
2024-11-06,94.1504898071289,25.49518585205078,14.675000190734863,5929.0400390625
2024-11-07,92.673828125,24.863727569580078,14.880000114440918,5973.10009765625
2024-11-08,93.55586242675781,24.893325805664062,13.529999732971191,5995.5400390625
2024-11-11,94.48745727539062,25.366920471191406,13.680000305175781,6001.35009765625
2024-11-12,92.61434936523438,24.942659378051758,12.239999771118164,5983.990234375
2024-11-13,90.18626403808594,24.7847957611084,12.100000381469727,5985.3798828125
2024-11-14,89.34386444091797,24.291467666625977,12.829999923706055,5949.169921875
2024-11-15,87.88700866699219,25.42612075805664,10.640000343322754,5870.6201171875
2024-11-18,89.55198669433594,25.949047088623047,10.850000381469727,5893.6201171875
2024-11-19,89.86912536621094,25.810916900634766,10.46500015258789,5916.97998046875
2024-11-20,90.18626403808594,25.99837875366211,10.869999885559082,5917.10986328125
2024-11-21,90.8800048828125,25.93918228149414,10.729999542236328,5948.7099609375
2024-11-22,87.11398315429688,27.073835372924805,11.880000114440918,5969.33984375
2024-11-25,81.4154052734375,26.491710662841797,13.770000457763672,5987.3701171875
2024-11-26,80.61263275146484,26.254911422729492,13.6899995803833,6021.6298828125
2024-11-27,80.10720825195312,26.708772659301758,14.859999656677246,5998.740234375
2024-11-29,80.04773712158203,26.570640563964844,15.800000190734863,6032.3798828125
2024-12-02,80.02792358398438,26.304243087768555,15.890000343322754,6047.14990234375
2024-12-03,78.17463684082031,25.643184661865234,14.65999984741211,6049.8798828125
2024-12-04,77.97643280029297,25.43598747253418,14.0600004196167,6086.490234375
2024-12-05,78.22418975830078,25.218921661376953,12.59000015258789,6075.10986328125
2024-12-06,78.21426391601562,25.38665199279785,12.779999732971191,6090.27001953125
2024-12-09,77.5584945678711,25.287988662719727,14.279999732971191,6052.85009765625
2024-12-10,79.64501190185547,25.564250946044922,14.09000015258789,6034.91015625
2024-12-11,83.53983306884766,25.50505256652832,14.40999984741211,6084.18994140625
2024-12-12,82.41708374023438,25.228788375854492,13.279999732971191,6051.25
2024-12-13,81.95011138916016,25.366920471191406,13.350000381469727,6051.08984375
2024-12-16,83.52989196777344,25.968780517578125,12.319999694824219,6074.080078125
2024-12-17,81.96003723144531,25.653051376342773,14.369999885559082,6050.60986328125
2024-12-18,78.20433044433594,24.3309326171875,13.84000015258789,5872.16015625
2024-12-19,78.97931671142578,24.913061141967773,13.109999656677246,5867.080078125
