,N,Mean,SD,Min,p25,p50,p75,Max
MLI,263,0.001392,0.022475,-0.066885,-0.011515,-0.000127,0.012142,0.140677
CWCO,263,0.000763,0.019241,-0.103019,-0.010562,0.0,0.011433,0.086503
SEDG,263,0.003256,0.070409,-0.334445,-0.034819,0.0,0.035394,0.238321
^GSPC,263,0.000683,0.012103,-0.05975,-0.003299,0.000969,0.005801,0.095154
