date,Y_asset_return,X_SPY_return,X_AAPL_return,X_dIRX,X_dTNX,X_dVIX
2010-02-01,-0.005925237354318824,0.03119519963171702,0.06539617343529391,0.04500000178813934,-0.01399993896484375,-5.120000839233398
2010-03-01,0.07653754021228609,0.056528089538904425,0.1484702777660476,0.03500000387430191,0.23799991607666016,-1.9099998474121094
2010-04-01,-0.07303572468885722,0.019652271240703012,0.11102139510462883,0.004999995231628418,-0.1699998378753662,4.459999084472656
2010-05-01,-0.07622226917264596,-0.07945461954801203,-0.0161247147963276,-0.004999995231628418,-0.3619999885559082,10.020000457763672
2010-06-01,-0.08376743980751866,-0.056231209432801244,-0.020826933512602563,0.019999995827674866,-0.35000014305114746,2.470001220703125
2010-07-01,0.08967307533350355,0.07338317570870423,0.022741487042916564,-0.030000001192092896,-0.04399991035461426,-11.040000915527344
2010-08-01,-0.07183653672218682,-0.04498046598033001,-0.05500539003389249,-0.004999995231628418,-0.43000006675720215,2.549999237060547
2010-09-01,0.1683700887281505,0.08375292260392286,0.16721555822022705,0.019999995827674866,0.039999961853027344,-2.3499984741210938
2010-10-01,0.1671959905757736,0.04376022299333471,0.060722295846469265,-0.04500000178813934,0.09500002861022949,-2.5
2010-11-01,-0.09449238646920077,0.0,0.03378971586688362,0.04999999701976776,0.18499994277954102,2.3400001525878906
2010-12-01,0.06884884882384901,0.06127086116213576,0.03667038371951281,-0.044999994337558746,0.5080001354217529,-5.790000915527344
2011-01-01,0.01075810534804078,0.02868168509192448,0.05195896733258709,0.0299999937415123,0.07299995422363281,1.7800006866455078
2011-02-01,0.021720265248153625,0.034737802752991875,0.040934854005714616,-0.009999990463256836,0.03600001335144043,-1.1800003051757812
2011-03-01,-0.04343006610151401,-0.004206233048446917,-0.013306411175993071,-0.04500000178813934,0.039999961853027344,-0.6100006103515625
2011-04-01,-0.07270409981835046,0.03343164560066292,0.004648272170673984,-0.05000000447034836,-0.15799999237060547,-2.989999771118164
2011-05-01,-0.027715620594394808,-0.01121494893039987,-0.006568965701833185,0.0,-0.24600005149841309,0.6999998092651367
2011-06-01,-0.04279611267859773,-0.021719403679131166,-0.03495960680682886,-0.024999999441206455,0.10800004005432129,1.0700006484985352
2011-07-01,0.19216791300672287,-0.015145900973858484,0.16328541231617932,0.07500000391155481,-0.3529999256134033,8.729999542236328
2011-08-01,-0.10391091042431766,-0.054976041069318526,-0.014469386800415762,-0.07500000391155481,-0.5870001316070557,6.370000839233398
2011-09-01,-0.047914892592005875,-0.07421039954962882,-0.009120820827646314,-0.004999999888241291,-0.29399991035461426,11.339998245239258
2011-10-01,0.15066794923778914,0.11488593382173873,0.06152307350607766,-0.004999999888241291,0.25099992752075195,-13.0
2011-11-01,0.011389761840794765,-0.004064317143254059,-0.05578364967756555,0.009999999776482582,-0.10699987411499023,-2.1599998474121094
2011-12-01,0.07759555362285031,0.0040809032282045354,0.05965498717441586,-0.009999999776482582,-0.19700002670288086,-4.399999618530273
